Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.",
20990192625,Tanaman pagar atau taman Alang alang Ekor Kuda  merah dan hijau,255756986306,Hijau,,,2900,,9160,5,,,,,
20990192625,Tanaman pagar atau taman Alang alang Ekor Kuda  merah dan hijau,255756986307,Merah,,,2900,,10450,,,,,,
20990192516,Tanaman Bunga mawar Import Komplang,156911607219,,,,10800,,935,0,,,,,
20942962889,Tanaman Honje Toga aneka jenis,164726452016,"Hijau,Honje",,,17910,,991,0,,,,,
20942962889,Tanaman Honje Toga aneka jenis,164726452017,"Putih,Honje",,,19800,,991,,,,,,
20942962889,Tanaman Honje Toga aneka jenis,155971882002,"Merah,Honje",,,19800,,993,,,,,,
20926351689,Tanaman Hias Calathea Centrini,181367766742,,tbh_22jul22_1,,19900,,991,0,,,,,
20890192616,Tanaman Mawar Imort Kuning lemonade,98733359243,,,,9900,,1260,2,,,,,
20826351561,Tanaman Lantana berbunga. bebas pilih.,181367764550,Orange,,tbh_19jul_-Orange2,13410,,997,0,,,,,
20826351561,Tanaman Lantana berbunga. bebas pilih.,181367764551,Putih,,tbh_19jul_-Putih2,13410,,997,,,,,,
20826351561,Tanaman Lantana berbunga. bebas pilih.,181367764552,Kuning,,tbh_19jul_-Kuning2,13410,,999,,,,,,
20826351561,Tanaman Lantana berbunga. bebas pilih.,211405048403,Pink,,,13410,,997,,,,,,
20826351561,Tanaman Lantana berbunga. bebas pilih.,181367764548,Merah,,tbh_19jul_-Merah2,13410,,996,,,,,,
20826351561,Tanaman Lantana berbunga. bebas pilih.,181367764549,Ungu,,tbh_19jul_-Ungu2,13410,,999,,,,,,
20824109557,Tanaman Hias Hypoestes aneka warna,145184752590,White Polkadot,,14_jul22_var2,19800,,995,0,,,,,
20824109557,Tanaman Hias Hypoestes aneka warna,145184752591,Red Splash,,14_jul22_var3,17820,,995,,,,,,
20824109557,Tanaman Hias Hypoestes aneka warna,145184752589,Pink Splash,,14_jul22_var1,19800,,995,,,,,,
20790192638,Tanaman Hias mawar import Moncour,79671486707,,,,12000,,698,0,,,,,
20742962981,Tanaman Sledri siap Panen,212178998087,,,,9900,,1236,0,,,,,
20726351616,Tanaman Aster Cosmos,181367764045,,tbh_19jul_4,,18000,,896,0,,,,,
20724109548,Tanaman Hias Aglonema Snow White,126298804946,,ss_13jul_22_01,,24900,,998,0,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578805,"Putih,Warna",,,16119,,996,0,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578806,"Kepiting Pink,Warna",,,24219,,999,,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578808,"Kepiting ungu,Warna",,,24219,,997,,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578804,"Variegata,Warna",,,29970,,997,,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578801,"Keriting / naga mini,Warna",,,26910,,998,,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578807,"Kepiting orange,Warna",,,24219,,995,,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578803,"Merah astec,Warna",,,26910,,988,,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578800,"California jumbo,Warna",,,33900,,989,,,,,,
20705171798,Tanaman wijaya kusuma aneka jenis dan warna,162924578802,"Kepiting putih,Warna",,,28350,,999,,,,,,
20642962835,Tanaman Hias Pentul biru berbunga rimbun,29155078101,,,,17910,,994,0,,,,,
20626351718,Tanaman Hias Calathea Rufibarba Rimbun,163777941042,,tbh_19jul_6,,15750,,999,0,,,,,
20542962791,Tanaman Bromelia kristantus aneka warna bebas pilih,202178995170,,,,23400,,999,0,,,,,
20524109752,Tanaman Hias Anthurium Mini Pink berbunga,173694584907,,ss_13jul_22_01,,39900,,999,0,,,,,
20524109563,Tanaman Calistemon little john atau sikat botol bangkok,173694583031,,ss_13jul_22_01,,31590,,998,0,,,,,
20424109728,Tanaman Hias Lotus Putih,173694582939,,ss_13jul_22_01,,38000,,919,0,,,,,
20324109787,Tanaman Hias Anthurium Mini Merah berbunga,136298806289,,ss_13jul_22_01,,34000,,999,0,,,,,
20290182945,Tanaman Bunga Mawar import happy piano - Happy piano,184389910244,Happy piano,,,12000,,302,0,,,,,
20272054352,Media tanam Spaghnum Moss Lumut Putih Kering,49245182243,,tbh25jan2023_23,,15000,,87,0,,,,,
20272054292,Tanaman Herbal Daun Seribu,230819958046,,tbh25jan2023_24,,15750,,1137,0,,,,,
20270863894,Tanaman Mandevilla Kuning,230722464164,,,,52650,,1000,0,,,,,
20190182948,Tanaman Bunga mawar Import Blue for you wangi,146911607156,,,,12000,,969,0,,,,,
20090183044,Tanaman Bunga mawar import Christoper,165959337529,,,,12000,,824,0,,,,,
20072054438,Pupuk Daun Untuk Pertumbuhan GANDASIL D 100gr,193764774247,,tbh26jan2023_27,,22000,,987,0,,,,,
20072054353,Perlite Campuran media tanam 100gr,59244864060,,tbh26jan2023_28,,15000,,998,0,,,,,
20024109597,Tanaman Manggis Jepang 40cm plus,201252342198,,ss_13jul_22_01,,31500,,999,0,,,,,
19990183038,Bunga Mawar Import Kinda blue wangi,88733349722,,,,12000,,8866,2,,,,,
19990182961,Bunga mawar import Juliet,231743157195,,,,9900,,965,0,,,,,
19972054377,Tanaman Toga daun sambiloto,117911588043,,tbh26jan2023_32,,15300,,995,0,,,,,
